,id,timestamp_utc,user_screen_name,text,lang,to_username,to_userid,to_tweetid,user_id,user_name,user_followers,user_friends,collected_via,retweeted_id,retweeted_user,retweeted_user_id,quoted_id,quoted_user,quoted_user_id,mentioned_names,mentioned_ids,hashtags
0,284,1667603136,izYCHONW,RT @RkhuBeEa: @sYeHFTPB Der Klimawandel ist eine globale Herausforderung der wir uns stellen müssen.,de,,,,11431,izYCHONW,100,3191,,203,RkhuBeEa,14063,,,,sYeHFTPB|RkhuBeEa,13812|14063,cop26|cop27
1,285,1667603286,GPxDJgVm,RT @upxMXEDW: @wmtciBSg Steigende Temperaturen beeinträchtigen die Ökosysteme unseres Planeten.,de,,,,12941,GPxDJgVm,2735,1910,,269,upxMXEDW,14820,,,,wmtciBSg|upxMXEDW,12161|14820,climatechange|cop27|ipcc|summaryforall
2,286,1667603376,iOUxlzJg,RT @WfMGXKxI:  @tvuhlMzj @idpZzsfuDas Schmelzen der Eiskappen ist ein Zeichen für den Klimawandel.,de,,,,11096,iOUxlzJg,1843,7,,280,WfMGXKxI,11504,,,,WfMGXKxI|tvuhlMzj|idpZzsfu,11504|13204|14545,biodiversité|cop27|dakar|senegal|thies
3,287,1667604044,OcJonULQ,RT @LwJgcxWA: @wgtLXCyI @MuFodvgt @iFyulgWm @RXOnULSf @EgdmoxOV @rUevVwRu Der Meeresspiegel steigt aufgrund des Klimawandels an.,de,,,,13134,OcJonULQ,39,102,,246,LwJgcxWA,14380,,,,wgtLXCyI|MuFodvgt|iFyulgWm|RXOnULSf|EgdmoxOV|rUevVwRu|LwJgcxWA,11245|11432|11454|11720|11794|13824|14380,cop27
4,288,1667604689,skfhPAMO,RT @EsTAMrDc: @IAvtjiKQ Erneuerbare Energien sind für die Bekämpfung des Klimawandels unerlässlich.,de,,,,11567,skfhPAMO,11795,8671,,236,EsTAMrDc,13853,,,,IAvtjiKQ|EsTAMrDc,11201|13853,cop27
5,289,1667605021,VGvCAuXm,RT @upxMXEDW: @wmtciBSg Die Abholzung von Wäldern trägt zum Klimawandel bei.,de,,,,11916,VGvCAuXm,606,234,,269,upxMXEDW,14820,,,,wmtciBSg|upxMXEDW,12161|14820,climatechange|cop27|ipcc|summaryforall
6,290,1667605082,BCMXiKfW,RT @muYDFpeM:  @BhRYKJiPDie Kohlenstoffemissionen müssen verringert werden.,de,,,,12195,BCMXiKfW,1354,1894,,166,muYDFpeM,10138,,,,muYDFpeM|BhRYKJiP,10138|14562,afp|cop27
7,291,1667605100,LJcoVIuT,RT @lGCvUIWN: @LJcoVIuT  @mzaxshiC @qgxGuMNjExtreme Wetterereignisse werden immer häufiger.,de,,,,10781,LJcoVIuT,1384,1424,,220,lGCvUIWN,12151,,,,LJcoVIuT|lGCvUIWN|mzaxshiC|qgxGuMNj,10781|12151|13674|13982,cop27
8,292,1667605157,fhmqkzYK,RT @upxMXEDW: @wmtciBSg Klimamaßnahmen sind für künftige Generationen von entscheidender Bedeutung.,de,,,,13104,fhmqkzYK,319,2074,,269,upxMXEDW,14820,,,,wmtciBSg|upxMXEDW,12161|14820,climatechange|cop27|ipcc|summaryforall
9,293,1667605358,UMnZXzOW,RT @vlsNBASz:  @aYEktcej The Paris Agreement is a global effort to combat climate change.,en,,,,11301,UMnZXzOW,362,943,,212,vlsNBASz,10444,,,,vlsNBASz|aYEktcej,10444|12692,cop27
10,294,1667605575,dBDkNarV,RT @qwMBlTSK:  @RYuJWbrs Climate scientists agree that global warming is real.,en,,,,14070,dBDkNarV,1187,736,,258,qwMBlTSK,10081,,,,qwMBlTSK|RYuJWbrs,10081|14344,cop27|diplomatieclimatique|pactevert|plusfortsensemble
11,295,1667605772,HwyBtPbO,RT @wOjbudIy:  We need to transition to a low-carbon economy.,en,,,,10119,HwyBtPbO,805,1203,,140,wOjbudIy,10813,,,,wOjbudIy,10813,cop27|innovation
12,296,1667606342,sDuIgKJW,RT @VandWfgh:  Climate change affects wildlife and biodiversity.,en,,,,12612,sDuIgKJW,124,225,,187,VandWfgh,14718,,,,VandWfgh,14718,climat|cop27|nationsunies|netzeroneedsnuclear
13,297,1667606777,FfkvHYZc,RT @yGClkTtc: @tVjXqmQO @ItndkMBF @tSJlFapC @cmeFhxdl @XBjaOqYc @etMUhLGZ  @IopCUNbr The greenhouse effect traps heat in our atmosphere.,en,,,,13153,FfkvHYZc,2544,2283,,276,yGClkTtc,14597,,,,tVjXqmQO|ItndkMBF|tSJlFapC|cmeFhxdl|XBjaOqYc|etMUhLGZ|yGClkTtc|IopCUNbr,10833|11066|12212|14594|14595|14596|14597|14598,cop27|criseclimatique|environnement|giec|politiquespubliques
