Ladder;ID
3.723589897;3
4.401778221;9
4.75838089;4
3.83171916;3
3.782937527;2
3.572100401;4
3.130895615;3
3.982854605;5
4.220168591;3
2.66171813;7
4.634251595;7
5.510124207;6
4.550647736;1
4.813763142;7
4.606650829;9
4.511100769;4
4.639548302;1
5.589000702;1
4.360249996;4
3.937106848;6
3.794837952;4
6.312925339;9
6.073158264;4
5.961034298;3
6.424133301;7
6.441067219;10
6.775805473;6
6.468387127;3
6.582260132;7
6.671114445;6
6.69713068;1
6.427221298;5
6.039330006;6
4.289310932;8
4.881515503;10
4.651972294;9
4.177581787;8
4.367811203;9
4.260491371;2
4.319711685;7
4.277191162;7
4.453083038;10
4.34831953;10
4.325471878;9
4.287736416;8
7.285390854;10
7.253757477;3
7.450047016;1
7.405616283;8
7.195585728;9
7.364169121;5
7.288550377;1
7.309060574;7
7.250080109;9
7.25703764;10
7.122211456;1
7.180953979;6
7.302678585;7
7.470512867;4
7.400688648;3
7.498802662;8
6.949999809;1
7.07644701;9
7.048071861;7
7.293727875;4
4.727870941;4
4.56815958;2
4.817189217;2
4.573725224;4
4.218610764;10
4.680469513;3
4.910771847;4
5.481178284;2
5.25153017;3
5.146774769;10
5.303894997;1
5.152279377;6
4.318909168;9
4.607322216;9
5.052278519;1
5.08285141;2
4.858481407;9
4.985649109;9
4.724443913;5
4.660161018;4
4.633473873;8
4.5561409;7
4.309771061;3
5.657649994;8
5.616976261;9
5.56413126;9
5.525923252;6
5.876466274;4
5.812400818;7
5.718907833;8
5.177899361;9
5.552915096;7
7.218839645;7
7.116590977;1
6.853514194;9
7.111363888;2
6.935122013;10
7.10366106;8
6.855329037;4
6.904219151;4
6.948936462;5
6.928347588;9
6.450644493;1
5.955646515;8
3.329801559;4
3.66713953;1
3.870279551;4
3.193468809;7
3.479412794;4
3.347419262;10
3.624664307;3
4.007357597;2
4.853180885;10
5.569091797;6
4.938578129;10
5.082128525;3
5.373986244;4
5.628419399;10
5.297872543;6
6.085579395;6
5.780620098;6
5.778874397;7
6.018894672;7
5.767428875;6
5.864798546;2
5.834329128;8
5.769723415;6
5.65055275;9
4.899806976;2
4.773144722;4
5.123664379;9
5.248954296;4
5.117177963;3
5.180865288;3
5.089902401;3
4.739367008;8
5.451147079;8
3.553020239;7
3.519921064;5
4.835938931;3
4.128298759;9
4.031197071;9
3.761964798;7
3.498936653;10
3.504881144;6
6.320672989;8
6.691424847;7
7.000831604;4
6.837331295;5
7.037816525;4
7.140282631;7
6.980998993;5
6.546896935;8
6.374817371;5
6.332929134;5
3.843797922;3
3.912276268;3
3.875382423;6
4.222297192;4
3.993020535;9
4.438439846;1
4.865401268;3
4.837560654;8
5.096901894;4
3.801490784;2
4.017130375;9
3.846438885;8
4.035560608;10
4.785367489;8
3.95500803;10
3.325949669;9
3.481347799;6
4.418930054;6
4.205634594;4
4.646891117;3
3.563227654;4
3.791680813;1
3.705894232;8
4.462163925;3
4.110625744;5
4.141072273;5
4.161225319;3
3.898706913;10
3.674466848;4
3.88330555;7
4.162164688;10
4.461259365;3
4.585842133;4
3.851072073;7
4.349939346;5
4.291800499;9
4.741408348;3
4.554256916;10
4.433885098;9
4.244634151;8
4.271038055;7
4.240441322;9
5.037964821;7
4.816232204;4
5.07405138;6
7.418048382;3
7.485603809;6
7.48782444;6
7.650346279;2
7.426053524;4
7.415144444;6
7.593793869;6
7.30425787;2
7.412772655;10
7.244845867;9
7.414868355;8
4.160129547;3
3.567892551;8
3.677826405;4
2.693061113;9
3.475862026;1
3.434800625;2
4.141326904;5
4.632468224;5
3.639445066;4
3.742871046;4
4.393482208;1
4.03297472;7
3.507663012;3
3.460182905;5
4.322675228;9
4.029350281;10
4.558937073;3
6.062851906;2
5.697929859;1
5.789438725;9
6.493686199;5
6.63565588;8
6.526334763;10
6.599128723;10
6.74015379;5
6.844238281;9
6.532749653;2
6.579056263;5
6.320119381;8
6.024942875;8
6.138411522;8
6.168395042;10
6.271604538;9
6.40811348;1
6.463952541;7
6.374879837;10
6.606550694;6
6.44878912;9
6.387571812;5
6.233715057;5
6.157341957;7
3.47602725;2
3.81219101;5
3.838485956;6
3.955640316;5
4.509824276;6
3.919341803;1
3.954950571;5
4.05601263;6
4.690830231;6
4.119493484;5
4.883991241;8
3.983848572;6
4.516963959;6
4.63922739;2
4.497477055;6
4.414299965;10
3.902741671;8
4.521935463;5
4.311033249;7
7.082465172;7
7.432132244;5
6.850679874;9
7.614928722;4
7.271053791;9
